,SMILES,clogp,qed,sas
101,COc(c2)c(O)cc(c(O)2)C(C=C)c(c1)cccc1,3.4243,0.650595456,2.841373495
102,COc(c2)c(ccc(O)2)C(=O)CCc(c1)cccc1,3.2163,0.835419617,1.710430995
103,COc(c3)ccc(c3)C([H])(C1)Oc(c2)c(ccc(O)2)C1,3.4671,0.893795324,2.487113972
104,COc(c3)c(C2)c(cc(O)3)OC(C2)c(c1)cccc1,3.4671,0.893795324,2.642102784
105,Oc(c3)ccc(c3)C([H])(C1)Oc(c(C)2)c(ccc(O)2)C1,3.47252,0.82096041,2.802910989
106,COc(c3)cc(O1)c(c3)CC[C@H]1c(c2)ccc(O)c2,3.4671,0.893795324,2.496771035
107,Oc(c2)ccc(c2)C(=O)CCc(c1)c(O)cc(O)c1,2.6189,0.736547022,1.969640816
108,Oc(c2)ccc(c2)CCC(=O)c(c1)c(O)cc(O)c1,2.6189,0.736547022,1.934957507
109,Oc(c1)cc(O)c(C(=O)CCc(c2)cccc2)c(O)1,2.6189,0.736547022,2.008713094
110,Oc(c1)cc(O2)c(CC(O)C2c(c3)cccc3)c(O)1,2.1349,0.732577594,3.041111706
111,Oc(c3)ccc(c3)C(O1)C(O)Cc(c2)c(cc(O)c2)1,2.1349,0.732577594,2.967183501
112,Oc(c3)cc(O)c(c3)C(C2)Cc(c1)c(O2)cc(O)c1,2.5221,0.73476131,2.866754579
113,Oc(c3)ccc(c3)C(C2)Oc(c1)c(C2)c(O)cc(O)1,2.8697,0.73524383,2.857108425
114,c(c4)ccc(c4)C=c(o1)c(=O)c(c2)c1c(c3)c(oc3)c2,4.049,0.620954833,2.375870424
115,O=C(C=Cc(c3)cccc3)c(c1)c(O)c(c2)c(oc2)c1,4.0345,0.573528296,2.166195106
116,COc(c(O)3)cc(c2c3)C(=CC(=O)O2)c(c1)cccc1,3.1742,0.725078115,1.935880168
117,COc(c3)cc(O1)c(c3)C(=O)C(c(c2)cccc2)=C(C)1,3.77702,0.708305836,1.834686646
118,Oc(c4)cc(O3)c(c4)c(o1)c(C(=O)3)c(c2)c(cc(O)c2)1,3.1036,0.478596593,2.43556114
119,COc(c3)c(O)cc(c23)C(=CC(=O)O2)c(c1)cccc1,3.1742,0.725078115,1.948878548
120,COc(c3)ccc(c3)C(O1)=C(O)C(=O)c(c2)c(ccc2)1,3.1742,0.775102982,1.862804055
121,COc(c3)cc(O1)c(c(O)3)C(=O)C=C1c(c2)cccc2,3.1742,0.775102982,2.013491504
122,COc(c3)cc(O1)c(c3)C(=O)C=C1c(c2)ccc(O)c2,3.1742,0.775102982,1.927890694
123,COc(c1)c(O)cc(O2)c1C(=O)C=C2c(c3)cccc3,3.1742,0.775102982,1.973352233
124,COc(c3)c(O)c(C(=O)2)c(c3)OC(=C2)c(c1)cccc1,3.1742,0.775102982,2.024998386
125,Oc(c1)c(C)c(O)c(C(=O)3)c1OC(=C3)c(c2)cccc2,3.17962,0.710721117,2.227293817
126,COc(c3)ccc(c3)C(=C1)Oc(c2)c(cc(O)c2)C(=O)1,3.1742,0.775102982,1.931842921
127,COc(c3)c(ccc3)C(=C1)Oc(c2)c(c(O)cc2)C(=O)1,3.1742,0.775102982,2.042590289
128,COc(c3)cc(O2)c(c3)C(=O)C(=C2)c(c1)ccc(O)c1,3.1742,0.775102982,1.956955472
129,COc(c3)ccc(c3)C(=C1)C(=O)c(c2)c(cc(O)c2)O1,3.1742,0.775102982,1.952252637
130,COc(c3)cc(O2)c(c(O)3)C(=O)C(=C2)c(c1)cccc1,3.1742,0.775102982,2.056655067
131,COc(c3)ccc(c3)C(=C1)C(=O)c(c(O)2)c(ccc2)O1,3.1742,0.775102982,2.012228346
132,Oc(c4)cc(O)c(c4)c(c1)oc(c2)c(cc(O3)c(OC3)2)1,3.2397,0.709832868,2.428856644
133,Oc(c3)cc(O1)c(c(O)3)C(=O)C(O)=C1c(c2)cccc2,2.5768,0.631832936,2.225481455
134,Oc(c3)ccc(c3)C=c(o1)c(=O)c(c(O)2)c(cc(O)c2)1,2.4196,0.69259856,2.431541894
135,Oc(c3)ccc(c3)C(O1)=C(O)C(=O)c(c2)c(cc(O)c2)1,2.5768,0.631832936,2.178790246
136,Oc(c3)cc(o1)c(c3)c(=O)c(=Cc(c2)cc(O)c(O)c2)1,2.4196,0.546894739,2.352022938
137,Oc(c3)c(ccc3)C(=C1)Oc(c(O)2)c(c(O)cc2)C(=O)1,2.5768,0.591054666,2.410085301
138,Oc(c3)ccc(c3)C(=C1)Oc(c2)c(c(O)cc(O)2)C(=O)1,2.5768,0.631832936,2.252669367
139,Oc(c3)c(O)c(O1)c(c(O)3)C(=O)C=C(c(c2)cccc2)1,2.5768,0.466712907,2.289351784
140,Oc(c1)c(O)c(O)c(C(=O)3)c1OC(=C3)c(c2)cccc2,2.5768,0.591054666,2.248500686
141,Oc(c3)cc(c(O)c3)C(=C1)Oc(c2)c(c(O)cc2)C(=O)1,2.5768,0.591054666,2.371546015
142,Oc(c3)cc(O1)c(c3)C(=O)C=C1c(c2)cc(O)c(O)c2,2.5768,0.591054666,2.219522664
143,Oc(c3)cc(O1)c(c(O)3)C(=O)C=C1c(c2)c(O)ccc2,2.5768,0.631832936,2.340609751
144,Oc(c3)cc(O2)c(c3)C(=O)C(=C2)c(c1)cc(O)c(O)c1,2.5768,0.591054666,2.253188598
145,Oc(c3)ccc(c3)C(=C2)C(=O)c(c1)c(O2)c(O)c(O)c1,2.5768,0.591054666,2.287017718
146,Oc(c3)ccc(c3)C(=C2)C(=O)c(c(O)1)c(O2)cc(O)c1,2.5768,0.631832936,2.296603707
147,Oc(c3)cc(O)c(c3)C(=C1)C(=O)c(c2)c(cc(O)c2)O1,2.5768,0.631832936,2.332757004
148,Oc(c3)ccc(c3)C(=C2)C(=O)c(c1)c(O2)cc(O)c(O)1,2.5768,0.591054666,2.235920466
149,Oc(c3)cc(cc3)C(=C2)C(=O)c(c(O)1)c(O2)cc(O)c1,2.5768,0.631832936,2.365488323
150,COc(c3)c(C(=O)2)c(cc(O)3)OC(C2)c(c1)cccc1,3.1073,0.91059405,2.653514413
151,COc(c(O)3)c(O1)c(cc3)C(=O)CC(c(c2)cccc2)1,3.1073,0.91059405,2.745137085
152,COc(c3)ccc(c3)C(C1)Oc(c2)c(ccc(O)2)C(=O)1,3.1073,0.91059405,2.529039919
153,Oc(c1)c(C)c(O)c(C(=O)3)c1OC([H])(C3)c(c2)cccc2,3.11272,0.835154251,2.805080954
154,COc(c3)cc(O1)c(c3)C(=O)CC1c(c2)ccc(O)c2,3.1073,0.91059405,2.538358138
155,Oc(c3)c(C)c(O1)c(c(O)3)C(=O)CC(c(c2)cccc2)1,3.11272,0.835154251,2.861672163
156,COc(c3)cc(O1)c(c(O)3)C(=O)CC1c(c2)cccc2,3.1073,0.91059405,2.59040753
157,COc(c3)cc(o1)c(c3)cc1c(c2)c(OC)cc(O)c2,3.8226,0.785615126,2.017893123
158,COc(c3)ccc(c3)C(C1)C(=O)c(c2)c(cc(O)c2)O1,2.7597,0.911272768,2.587526559
159,COc(c3)c(ccc(O)3)C(C1)=Cc(c2)c(cc(O)c2)O1,3.0394,0.880228865,2.532510937
160,COc(c2)c(=O)cc(c(=O)2)[C@]([H])(C=C)c(c1)ccc(O)c1,2.2703,0.673071223,3.323868377
161,COc(c2)ccc(c2)C=CC(=O)c(c1)c(O)cc(O)c1,3.0025,0.661723447,1.934734477
162,COc(c2)c(ccc(O)2)C=CC(=O)c(c1)ccc(O)c1,3.0025,0.661723447,2.002029257
163,COC(=C1)C(=O)C(=C(OC)C=Cc(c2)cccc2)C(=O)1,2.2824,0.478290111,2.69238118
164,COc(c1)c(O)cc(O)c1C(=O)C=Cc(c2)cccc2,3.0025,0.661723447,2.004392993
165,COc(c1)c(C(=O)C=Cc(c2)cccc2)c(O)cc(O)1,3.0025,0.661723447,2.095525411
166,COc(c2)ccc(c2)C=CC(=O)c(c1)c(O)ccc(O)1,3.0025,0.508915614,1.954131455
167,COc(c(O)2)c(O)c(cc2)C(=O)C=Cc(c1)cccc1,3.0025,0.661723447,2.104584751
168,COc(c1)cc(O)c(C(=O)C=Cc(c2)cccc2)c(O)1,3.0025,0.661723447,2.11618585
169,COc(c2)cc(O)c(c2)C(=O)C=Cc(c1)ccc(O)c1,3.0025,0.661723447,1.961012499
170,COc(c4)cc(O3)c(c4)C(O1)C(C3)c(c2)c(cc(O)c2)1,3.0105,0.864981897,3.143486074
171,COc(c2)c(ccc(O)2)C(=O)C=Cc(c1)ccc(O)c1,3.0025,0.661723447,2.008549312
172,COc(c4)cc(O1)c(c4)C([H])(C2)C([H])1c(c3)c(cc(O)c3)O2,3.0105,0.864981897,3.143486074
173,Oc(c4)cc(O1)c(c4)CCC1c(c2)cc(O3)c(OC3)c2,3.1872,0.864175593,2.769166194
174,COc(c2)c(O)cc(c(OC)2)[C@]([H])(C=C)c(c1)cccc1,3.7273,0.841349565,2.745132053
175,c(c2)ccc(c2)CCC(=O)C(=C(C)1)C(=O)C(C)(C)C(=O)1,2.6828,0.624065348,2.398446565
176,COc(c(C)3)c(C2)c(cc(O)3)OC(C2)c(c1)cccc1,3.77552,0.90229129,2.825641538
177,COc(c3)c(C)c(O1)c(c3)CC[C@H]1c(c2)ccc(O)c2,3.77552,0.90229129,2.704385668
178,COc(c1)cc(O2)c(CC[C@H]2c(c3)cccc3)c(OC)1,3.7701,0.849362465,2.524231333
179,Oc(c3)ccc(c3)c([o+1]1)c(O)cc(c(O)2)c(cc(O)c2)1,3.2033,0.509967543,2.894628982
180,Oc(c1)cc([o+1]2)c(ccc2c(c3)cc(O)c(O)c3)c(O)1,3.2033,0.4026843,2.913573488
181,Oc(c3)cc(O1)c(c3)C(=O)CC([H])1c(c2)cc(O)c(O)c2,2.5099,0.694218148,2.834860075
182,Oc(c3)ccc(c3)C(C1)Oc(c(O)2)c(ccc(O)2)C(=O)1,2.5099,0.694218148,2.887062548
183,Oc(c3)c(O)c(O1)c(c(O)3)C(=O)CC(c(c2)cccc2)1,2.5099,0.54817361,2.90592546
184,Oc(c3)ccc(c3)C(C1)Oc(c(O)2)c(c(O)cc2)C(=O)1,2.5099,0.694218148,2.881269416
185,Oc(c3)cc(O1)c(c(O)3)C(=O)CC1c(c2)c(O)ccc2,2.5099,0.742113913,2.877508701
186,Oc(c1)c(O)c(O)c(C(=O)3)c1OC(C3)c(c2)cccc2,2.5099,0.694218148,2.830644416
187,Oc(c3)cc(O1)c(c(O)3)C(=O)CC(O)1c(c2)cccc2,1.9083,0.737795215,3.062926009
188,Oc(c3)cc(cc3)C(C1)Oc(c2)c(c(O)cc(O)2)C(=O)1,2.5099,0.742113913,2.893716119
189,Oc(c3)ccc(c3)C([H])(C1)Oc(c2)c(c(O)cc(O)2)C(=O)1,2.5099,0.742113913,2.825486723
190,Oc(c3)cc(O)c(c3)C(C1)C(=O)c(c2)c(cc(O)c2)O1,2.1623,0.740166283,2.945060625
