SMILES,logp,qed
Oc(c1)cc(O)c(C(=O)CCc(c2)cccc2)c(O)1,2.6189,0.736547022
Oc(c1)cc(O2)c(CC(O)C2c(c3)cccc3)c(O)1,2.1349,0.732577594
Oc(c3)ccc(c3)C(O1)C(O)Cc(c2)c(cc(O)c2)1,2.1349,0.732577594
Oc(c3)cc(O)c(c3)C(C2)Cc(c1)c(O2)cc(O)c1,2.5221,0.73476131
Oc(c3)ccc(c3)C(C2)Oc(c1)c(C2)c(O)cc(O)1,2.8697,0.73524383
c(c4)ccc(c4)C=c(o1)c(=O)c(c2)c1c(c3)c(oc3)c2,4.049,0.620954833
O=C(C=Cc(c3)cccc3)c(c1)c(O)c(c2)c(oc2)c1,4.0345,0.573528296
COc(c(O)3)cc(c2c3)C(=CC(=O)O2)c(c1)cccc1,3.1742,0.725078115
COc(c3)cc(O1)c(c3)C(=O)C(c(c2)cccc2)=C(C)1,3.77702,0.708305836
Oc(c4)cc(O3)c(c4)c(o1)c(C(=O)3)c(c2)c(cc(O)c2)1,3.1036,0.478596593
COc(c3)c(O)cc(c23)C(=CC(=O)O2)c(c1)cccc1,3.1742,0.725078115
COc(c3)ccc(c3)C(O1)=C(O)C(=O)c(c2)c(ccc2)1,3.1742,0.775102982
COc(c3)cc(O1)c(c(O)3)C(=O)C=C1c(c2)cccc2,3.1742,0.775102982
COc(c3)cc(O1)c(c3)C(=O)C=C1c(c2)ccc(O)c2,3.1742,0.775102982
COc(c1)c(O)cc(O2)c1C(=O)C=C2c(c3)cccc3,3.1742,0.775102982
COc(c3)c(O)c(C(=O)2)c(c3)OC(=C2)c(c1)cccc1,3.1742,0.775102982
Oc(c1)c(C)c(O)c(C(=O)3)c1OC(=C3)c(c2)cccc2,3.17962,0.710721117
COc(c3)ccc(c3)C(=C1)Oc(c2)c(cc(O)c2)C(=O)1,3.1742,0.775102982
COc(c3)c(ccc3)C(=C1)Oc(c2)c(c(O)cc2)C(=O)1,3.1742,0.775102982
COc(c3)cc(O2)c(c3)C(=O)C(=C2)c(c1)ccc(O)c1,3.1742,0.775102982
COc(c3)ccc(c3)C(=C1)C(=O)c(c2)c(cc(O)c2)O1,3.1742,0.775102982
COc(c3)cc(O2)c(c(O)3)C(=O)C(=C2)c(c1)cccc1,3.1742,0.775102982
COc(c3)ccc(c3)C(=C1)C(=O)c(c(O)2)c(ccc2)O1,3.1742,0.775102982
Oc(c4)cc(O)c(c4)c(c1)oc(c2)c(cc(O3)c(OC3)2)1,3.2397,0.709832868
Oc(c3)cc(O1)c(c(O)3)C(=O)C(O)=C1c(c2)cccc2,2.5768,0.631832936
Oc(c3)ccc(c3)C=c(o1)c(=O)c(c(O)2)c(cc(O)c2)1,2.4196,0.69259856
Oc(c3)ccc(c3)C(O1)=C(O)C(=O)c(c2)c(cc(O)c2)1,2.5768,0.631832936
Oc(c3)cc(o1)c(c3)c(=O)c(=Cc(c2)cc(O)c(O)c2)1,2.4196,0.546894739
Oc(c3)c(ccc3)C(=C1)Oc(c(O)2)c(c(O)cc2)C(=O)1,2.5768,0.591054666
Oc(c3)ccc(c3)C(=C1)Oc(c2)c(c(O)cc(O)2)C(=O)1,2.5768,0.631832936
Oc(c3)c(O)c(O1)c(c(O)3)C(=O)C=C(c(c2)cccc2)1,2.5768,0.466712907
Oc(c1)c(O)c(O)c(C(=O)3)c1OC(=C3)c(c2)cccc2,2.5768,0.591054666
Oc(c3)cc(c(O)c3)C(=C1)Oc(c2)c(c(O)cc2)C(=O)1,2.5768,0.591054666
Oc(c3)cc(O1)c(c3)C(=O)C=C1c(c2)cc(O)c(O)c2,2.5768,0.591054666
Oc(c3)cc(O1)c(c(O)3)C(=O)C=C1c(c2)c(O)ccc2,2.5768,0.631832936
Oc(c3)cc(O2)c(c3)C(=O)C(=C2)c(c1)cc(O)c(O)c1,2.5768,0.591054666
Oc(c3)ccc(c3)C(=C2)C(=O)c(c1)c(O2)c(O)c(O)c1,2.5768,0.591054666
Oc(c3)ccc(c3)C(=C2)C(=O)c(c(O)1)c(O2)cc(O)c1,2.5768,0.631832936
Oc(c3)cc(O)c(c3)C(=C1)C(=O)c(c2)c(cc(O)c2)O1,2.5768,0.631832936
Oc(c3)ccc(c3)C(=C2)C(=O)c(c1)c(O2)cc(O)c(O)1,2.5768,0.591054666
Oc(c3)cc(cc3)C(=C2)C(=O)c(c(O)1)c(O2)cc(O)c1,2.5768,0.631832936
COc(c3)c(C(=O)2)c(cc(O)3)OC(C2)c(c1)cccc1,3.1073,0.91059405
COc(c(O)3)c(O1)c(cc3)C(=O)CC(c(c2)cccc2)1,3.1073,0.91059405
