,SMILES
1100,c(c3OC)(O)cc(O1)c(c3O)C(C(=C1c(c(O)2)cc(OC)c(O)c2)OC)=O
1105,c(OC)(c(O)1)c(O)cc(C(O2)=C(C(c(c3O)c2cc(c3OC)O)=O)OC)c1
1110,O(C(c(c3)cc(OC)c(O)c3)=2)c(c1OC)c(C(C2O)=O)c(c(c1O)OC)O
1115,O(C(c(c3)cc(O)c(O)c3)=1)c(c2OC)c(c(c(c2O)OC)O)C(C1OC)=O
1120,c(C(O2)=C(C(c(c3O)c2c(c(c3OC)OC)OC)=O)O)(c1)cc(O)c(O)c1
1125,c(c3OC)(O)cc(O1)c(c3O)C(C(=C1c(c2)cc(OC)c(O)c(O)2)OC)=O
1130,C(C2=O)=C(Oc(c3OC)c2c(c(c3O)OC)O)c(c(O)1)c(OC)c(O)cc1
1135,O(C(c(c3)cc(OC)c(O)c(O)3)=2)c(c1OC)c(C(=O)C2)c(c(c1O)OC)O
1140,c(c3OC)(O)cc(O1)c(c3O)C(C(=C1c(c2)cc(c(OC)c(O)2)OC)O)=O
1145,c(c1OC)(O)cc(c(C3=O)c(OC(=C3OC)c(c(O)2)cc(OC)c(O)c2)1)O
1150,c(c(C(O2)=CC(c(c3O)c2c(c(c3OC)O)OC)=O)1)(O)cc(O)c(OC)c1
1155,c(c62)(C(=C3CO6)C(c(c5)c(c(C=4)c(c5)OC(C4)(C)C)O3)=O)cc(c(c2)1)OCO1
1160,c(c1)ccc(C(C(OC(=O)c(c4)cccc4)2)Oc(c3)c(c(cc3O)O)C(=O)2)c1
1165,c(c(C(O2)CC(c(c3O)c2c(c(c3OC)OC)OC)=O)1)(OC)cccc1O
1170,O(C(c(c3)cc(c(OC)c(O)3)OC)2)c(c(C(=O)C2)1)cc(c(c1O)OC)OC
1175,c(c3OC)(O)cc(c(c3OC)1)CC(c(c2=O)cc(c(c2OC)OC)=O)CO1
1180,c(c4O)c(c(c(c4OC)OC)1)C(O2)C(c(c3)c2c(c(c3O)OC)OC)CO1
1185,c(c2O)c(cc(O3)c2C(CC3c(c4)cccc4)=O)Oc(c1)ccc(c1)C(C)O
1190,c(c4)(cccc4)C(O1)CC(=O)c(c(OC)2)c(c(Cc(c3)c(ccc3)O)c(c2)O)1
1195,OC[C@@H](O)[C@@H](O)[C@@H](O)CN(c21)C(=N3)C(C(=O)NC(=O)3)=Nc(cc(C)c(C)c2)1
1198,c(CC=C(C)C)(c3O)cc(c2c3CC=C(C)C)C(=O)CC(O2)c(c1)cccc1
1203,C(C)(C)=CCc(c1O)c(c(CC=C(C)C)cc1C(C=Cc(c2)cccc2)=O)O
1208,c(c1OC)(OC)cc(c(C2=O)c(OC(c(c(O)3)cccc3Cl)=C2OC)1)O
1213,o(c45)c(c1)c(c4cc(O)c(O)c5)c(c(C(=O)3)c1OC(C3)c(c2)ccc(O)c2)O
1218,o(c45)c(c(c4cc(O)c(O)c5)1)cc(c(C(=O)3)c(OC(C3)c(c2)ccc(O)c2)1)O
1223,C(c64)(C3(COc4cc(O5)c(c6)OC5)[H])(C(=O)c(c2)c(O3)c(C=1)c(c2)OC(C1)(C)C)[H]
1228,c(c62)(C(C5CO6)C(=O)c(c4O5)ccc(c43)OC(C(C)=C)C3)cc(c(c2)1)OCO1
1233,c(c54)c(ccc4OCO5)C(=C1OC)Oc(c32)c(ccc2OC(C=C3)(C)C)C1=O
1238,c(c(OC)2)c(c(c(O3)c2C(=O)C=C3c(c5)cc(O4)c(c5)OC4)1)OC(C=C1)(C)C
1243,c(c5)c(C1=O)c(c(c45)C(C3O)(CO4)C(=O)OC3(C)C)OC(c(c2)cccc2)=C1
1248,c(c51)(CC(C(C)=C)O5)c(c(C2=O)c(OC=C2c(c4)cc(O3)c(c4)OC3)c1)OC
1253,c(C(=C5)C(c(c(O5)3)ccc(O4)c(C=CC(C)(C)4)3)=O)(c(OC)1)cc(O2)c(OC2)c1
1258,O(C5)c(c1O5)c(cc(C(C4=O)=COc(c34)c(C=2)c(cc3)OC(C2)(C)C)c1)OC
1263,c(O5)(c4OC5)cc(cc4)C(=C1)C(c(c2OC)c(cc(O3)c(C=CC3(C)C)2)O1)=O
1268,c(O5)(c1OC5)cc(C(=C4)C(c(c(O4)3)cc(OC)c(c32)OC(C=C2)(C)C)=O)cc1
1273,COc(c1C(=O)CCc(c3)cccc3)c(Cc(c2)c(ccc2)O)c(O)cc1O
