,SMILES
13348,c(c2O)c(OC)c(c(c([C@@H](C=Cc(c4)ccc(c4)O)CC(OO)CCc(c3)ccc(c3)O)2)O)C(C=Cc(c1)ccc(c1)O)=O
13353,O([C@H](C4)[C@H](Oc(c34)cc(cc(OC)3)O)c(c2)cc(c(O)c(OC)2)OC)C(=O)c(c1)cc(c(c1O)O)O
13358,OC(C4O)C(COC(=O)C=CC)OC(C4O)Oc(c1)cc(O2)c(C(=O)C=C2c(c3)ccc(c3)O)c(O)1
13363,C(C(O1)C(O)C(C(C1c(c32)c(ccc(C(C(c(c4)ccc(OC(C)=O)c4)=CO3)=O)2)O)O)O)OC(C)=O
13368,c(c4O)(c(c(c(c(Cc(c5)ccc(c5)O)4)2)C(=O)C(C(c(c3)ccc(c3)O)O2)O)O)Cc(c1)ccc(c1)O
13373,c(c1C(=C3OC(C(O)4)OC(C)C(C(O)4)O)Oc(c2CC=C(C)C)c(C3=O)c(cc(O)2)O)cc(O)cc1
13378,C(C(C)(C)6)=Cc(c(O6)1)c(O5)c(C(=O)C(=C45)CC(C(C)=C)c(c43)c(O)c(c(c(O)3)2)OC(C)(C)C=C2)c(O)c1
13383,C(O3)(=Cc(c24)c(OC(O5)C(O)C(C(O)C(CO)5)O)c([o+1]c2cc(O)cc34)c(c1)ccc(c1)O)C(O)=O
13388,C(O)(C4O)C(OC(C4OC(C)=O)Oc(c1)cc(c(C(=O)3)c1OC(=C3)c(c2)ccc(c2)O)O)C(=O)OC
13393,Oc(c1CC=C(C)COC(=O)C=Cc(c3)ccc(c3)O)c(C(=O)C=Cc(c2)c(cc(O)c2)O)ccc1O
13398,c(c42)(cc(c(CC=C(C)C)c2OC(CC4=O)c(c3)ccc(O)c3)OC(O1)C(C(C(O)C(CO)1)O)O)O
13403,C(c21)(O4)=C(C(c(c6O)c4c(C=5)c(c6CC=C(C)C)OC(C)(C)C5)=O)CC(C3(C)C)c1c(O3)c(O)cc2O
13408,c(c54)(cc(O)c(c5)O)OC(C=C(C)C)C(=C43)C(c(c2O3)c(c(C=1)c(c(CC=C(C)C)2)OC(C1)(C)C)O)=O
13413,C(C)(C)=CCCC(C56)(Oc(c16)c(O)cc(c1C(O2)=C(C5)C(c(c(O)3)c2cc(O4)c3C=CC4(C)C)=O)O)C
13418,c(C(=O)2)(c1O)c(OC(c43)=C2CC(C(C)=C)c3c(c(c(CC=C(C)C)c(=O)4)O)=O)cc(c(CC=C(C)C)1)O
13423,c(O)(c(CC=C(C)C)1)c(C(=O)2)c(OC(c35)=C2CC(C(C)=C)c(c(O)c(O4)c(c(O)5)C=CC(C)(C)4)3)cc(O)1
13428,c(O)(c(CC=C(C)C)5)c(c(c(c5O)4)Oc(o3)c(C4=O)c(c31)cc(O)c(O2)c(C=CC(C)(C)2)1)CC=C(C)C
13433,C(CC(CCOc(c1)c(cc(C(=C3O)Oc(c(C3=O)2)cc(c(OC)c(O)2)OC)c1)O)C)CC(C)(C)O
13438,c(c(O)3)cc(cc(OC(C(O)4)OC(C(O)=O)C(OC(C)=O)C(O)4)3)C(O2)=CC(c(c21)c(O)cc(O)c1)=O
13443,O=C(C=3OC)c(c(O)1)c(OC(c(c4)ccc(OC(O5)C(O)C(C(O)C5C(O)=O)O)c4)3)cc(O2)c(OC2)1
13448,C(O)(C(Oc(c4O)cc(cc4)C(O3)=CC(c(c32)c(O)cc(O)c2)=O)1)C(OC(C)=O)C(O)C(C(O)=O)O1
13453,O(c(c1)cc(O[C@@H]([C@H]4O)OC(COC(C)=O)[C@@H]([C@H](O)4)O)c(C(c(c3)cc(c(c3)O)O)=2)c(OC(=O)C2)1)C
13458,O(C)c(c1)cc(O)c(C2=O)c1OC(c(c4)ccc(c4)O)=C2O[C@H](O3)C(O)C(O)[C@@H](O)[C@H]3COC(C)=O
13463,C(C(C(O)1)OC(c(c2O)c(O3)c(C(=O)C=C3c(c4)cc(c(O)c4)OC)c(O)c2)C(O)C1O)OC(C)=O
13468,C(=O)(C=1)c(c3O)c(cc(OC(C(C)OC(C(O)4)OC(C(O)C(O)4)CO)=O)c3)OC1c(c2)ccc(c2)O
13473,O(C(Oc(c4OC)cc(c(c4O)2)OC(c(c3)ccc(c3)OC)=CC(=O)2)1)C(C(OC)=O)C(O)C(C(O)1)O
13478,O(c43)C=C(C(=O)c(cc(c(O[C@@H]([C@H]5O)OC([C@H](O)[C@@H]5O)CO)c4)OC)3)c(c(OC)2)cc(c1c2)OCO1
13483,c(C(=C5)C(c(c(O5)3)c(c(c(O[C@@H]([C@H]4O)OC(CO)[C@H](O)[C@@H]4O)c3)OC)OC)=O)(c2)cc(c1c2)OCO1
13488,C(C(c(c5)cc(c4c5)OCO4)=3)(c(c(OC)2)c(OC3)c(c(c2)O[C@@H]([C@H]1O)OC(CO)[C@H](O)[C@@H]1O)OC)=O
13493,C(O)(C(O)4)C(C)OC(C(O)4)Oc(c3)c(c1c(C)c3O)c(c(=Cc(c2)cc(c(OC)c2OC)OC)o1)=O
13498,C(C)(C(O)1)OC(Oc(c42)c(C)c(cc2oc(c4=O)=Cc(c3)cc(c(OC)c3OC)OC)O)C(O)C(O)1
13503,C(C)(C(O)1)OC(Oc(c(OC)4)c(OC)c(c2c4)C(C(OC)=C(c(c3)ccc(c3)OC)O2)=O)C(O)C(O)1
13508,C(=CCc(c15)c(ccc(C(C(O5)4O)(CC=C(C)C)Oc(c3C4=O)cc(O2)c(c(O)3)C=CC2(C)C)1)O)(C)C
13513,c(c45)(ccc(O)c(CC=C(C)C)5)C(O3)(C(O)(O4)C(=O)c(c32)c(O)cc(c12)OC(C)(C)C=C1)CC=C(C)C
13518,CC(C)=CCc(c54)c(c(c(c(C=CC(C)(C)O5)4)O)3)OC(O)(c21)C(C3=O)(CC=C(C)C)Oc(cc(O)cc2)1
13523,c(O)(c21)cc(O)c(C(C)(C)C=C)c1OC(c(c4)c(c(c(c4O)3)C=CC(O3)(C)C)CC=C(C)C)=C(C2=O)O
13528,Oc(c31)c(CC=C(C)C)c(O4)c(C=CC(CCC=C(C)C)(C)4)c1OC(=C(O)C3=O)c(c2)ccc(O)c(O)2
13533,C(=C4)c(c3OC4(C)C)c(c(c(c3CC=C(CCC=C(C)C)C)O)1)OC(c(c2)ccc(O)c2O)=C(O)C1=O
13538,c(c1O)(C(O2)=C(CC=C(C)C)C(c(c3O)c2c(CC=C(C)C)c(O4)c3C=CC4(C)C)=O)cc(O)c(O)c1
13543,C(=C15)(c(c4)c(OC(C(C)(C)O)C5)cc(c4)O)Oc(c23)c(c(cc2OC(C=C3)(CCC=C(C)C)C)O)C1=O
13548,O(c31)c(c4CC=C(C)C)c(c(c(c(O)4)CC=C(C)C)O)C(=O)c(c(c2)c(o3)c(c(O)c2O)CC=C(C)C)1
13553,O(C(c(c4)cc(CC=C(C)C)c(c4OC)O)3)c(c2CC=C(C)C)c(C(=O)C3)c(c(c21)C=CC(O1)(C)C)O
13558,OC([C@H]4O)C([C@@H](O[C@@H]4COC(C)=O)Oc(c2)c(c(c3)cc(c(c3)O)OC)[o+1]c(c21)cc(cc1O)O)O
13563,COc(c3)c(OC)c(O1)c(c(O)3)C(=O)C(OS(O)(=O)=O)=C1c(c2)cc(c(O)c2)OS(O)(=O)=O
13568,c(c(C(O3)=C(C(c(c4O)c3cc(c4)O)=O)OC(C(O)2)OC(C(O)C(O)2)C(=O)OCC)1)cc(c(c1)O)O
13573,c(c(C(O3)=C(C(c(c4O)c3cc(c4)O)=O)OC(O2)C(OC(C)=O)C(O)C(C2CO)O)1)cc(c(c1)O)O
13578,c(C(=O)2)(c4O)c(cc(c4)O)OC(=C2OC(C(O)3)OC(C(OC(C)=O)C(O)3)C)c(c1)cc(O)c(O)c(O)1
13583,c(c(C(O3)=C(C(c(c4O)c3cc(c4)O)=O)OC(O2)C(O)C(C(C(COC(C)=O)2)O)O)1)cc(c(c1)O)O
13588,OC(C1O)C(Oc(c4)cc(c3c4O)OC(=C(C(=O)3)O)c(c2)ccc(c2O)O)OC(COC(C)=O)C1O
13593,c(c12)(cc(c(c(OC(c(c3O)ccc(c3)O)=C(CC=C(C)C)C2=O)1)CC=C(C)CCC=C(C)C)OC)O
13598,c(c(C(O3)=C(C(c(c4O)c3cc(c4)O)=O)OC(O2)C(O)C(C(C(COC(C)=O)2)O)O)1)cc(c(c1)O)O
13603,OC(C4O)C(OC(CO)C4O)Oc(c1)c(O)ccc1C(=C3O)Oc(c2)c(C3=O)c(O)cc2OC(C)=O
13608,c(c(C(O3)=C(C(c(c4O)c3cc(c4)O)=O)OC(O2)C(C(OC(C)=O)C(O)C2CO)O)1)cc(c(c1)O)O
13613,C(C)(C(O)1)OC(OC(C4=O)=C(Oc(c43)cc(cc3O)O)c(c2)cc(O)c(O)c(O)2)C(OC(C)=O)C(O)1
13618,OC(C4C(O)=O)C(C(O)C(O4)Oc(c3)cc(c(c3O)1)OC(c(c2)cc(c(c(OC)2)O)OC)=CC1=O)O
13623,c(c(O)1)(C(=O)2)c(OC(c(c(OC(O4)C(O)C(C(O)C4C(O)=O)O)3)c(O)ccc3)=C2)c(c(c1)OC)OC
13628,O=C(C(O1)C(O)C(O)C(O)C(Oc(c4)c(OC)c(c(c34)C(=O)C=C(O3)c(c2)ccc(c2O)O)O)1)OC
13633,OC(C4C(O)=O)C(C(O)C(O4)Oc(c3)cc(c(c3O)1)OC(c(c2)cc(OC)c(OC)c2O)=CC1=O)O
13638,Oc(c3)c(C(=O)1)c(cc3O[C@@H]([C@H]4O)OC(COC(C)=O)[C@@H]([C@@H]4O)O)OC(c(c2)cc(c(c2)O)OC)C1
13643,O(C)c(c4OC)c(c(c1c4)C(C(OC)=C(c(c3)ccc(c3)O[C@@H](C(O)2)O[C@@H]([C@H](O)C(O)2)CO)O1)=O)O
13648,OC([C@@H]1OC(=C(c(c4)ccc(c4)OC)2)C(=O)c(c(O)3)c(cc(c(OC)3)OC)O2)C([C@@H](O)[C@@H](CO)O1)O
13653,OC([C@@H]1OC(=C3c(c4)ccc(c4)O)C(c(c2O3)c(OC)c(OC)c(c2)OC)=O)C([C@@H](O)[C@@H](CO)O1)O
13658,O(C1Oc(c4OC)cc(c(c4O)3)OC(=C(OC)C3=O)c(c2)cc(c(c2)O)OC)C(C(O)C(O)C(O)1)C
13663,O(C)c(c4)cc(O)c(c41)C(C(=C(c(c2O[C@@H]([C@H]3O)OC([C@H](O)[C@@H]3O)CO)ccc(c2)OC)O1)OC)=O
13668,C(C1O)(C(COC(C)=O)OC(Oc(c2)c(O)c(O)c(C(C=Cc(c3)cc(c(OC)c3)O)=O)c2)C1O)O
13673,OC(C(COC(C)=O)1)C(O)C(C(Oc(c2O)c(c(C(C=Cc(c3)cc(c(OC)c3)O)=O)cc2)O)O1)O
13678,O(C(C4O)OC(CO)C(O)C4O)c(c3)c(c(cc3OC)2)C(=O)C=C(O2)c(c1)cc(O)c(c1OC)OC
13683,C(C3=O)=C(c(c4)ccc(OC)c4)Oc(c23)c(c(OC)c(OC)c2O)OC(O1)C(O)C(C(O)C(CO)1)O
13688,C(C(C(O)4)OC(C(O)C4O)Oc(c(OC)1)c(C(=O)2)c(OC(c(c3)ccc(OC)c3)=C2)c(OC)c1O)O
13693,c(c3OC)c(ccc(O[C@@H](C4O)O[C@@H]([C@@H](C(O)4)O)CO)3)C(O2)=CC(=O)c(c21)c(c(c(OC)c1)OC)O
13698,C(C(C(O)4)OC(C(O)C4O)Oc(c(OC)3)c(c(c1c(O)3)OC(c(c2)ccc(OC)c2)=CC(=O)1)OC)O
13703,C(=O)(C=1)c(c(O)4)c(cc(c4OC)O)OC(c(c2)cc(c(OC)c2OC(C(O)3)OC(C(O)C3O)C)OC)1
13708,c(c1)c(c(OC)cc1C(C(=O)4)=COc(c42)cc(O[C@@H]([C@H]3O)OC(CO)[C@H](O)[C@@H]3O)c(c2O)OC)OC
13713,c(c3)c(c(OC)cc3OC)C=CC(c(c(OC(C2O)OC(CO)C(O)C2O)1)c(OC)cc(OC)c1)=O
13718,[C@@](C(C)(C)O)(O2)([C@]([H])(c(c4OC)c2c(c(c4)O)C(=O)CCc(c3)cccc3)c(c1)c(ccc1C(OC)=O)O)[H]
13723,O=C(C5(C)C)C(C(O)(O1)C(C5=O)C(c(c23)c(c(c(c2C(CC(c(c4)cccc4)O3)=O)O)C)1)C(C)C)(C)C
13728,CC(C)(C5O)Oc(c4)c(C5)cc(c4O)C(O1)CC(=O)c(c3O)c1c(CC=C(C)C)c(c32)OC(C=C2)(C)C
13733,C(C=1)(C)(C)Oc(c4CC(CC=C(C)C)C(C)=C)c(c(O)c(c43)C(CC(O3)c(c(O)2)c(O)cc(c2)O)=O)C1
13738,C(C)(C)=CCC(C(C)=C)Cc(c21)c(c(C3=O)c(OC(c(c(O)4)c(O)cc(O)c4)C3)c(C=CC(O2)(C)C)1)O
13743,CC(CCC=C(C)C)=CCc(c21)c(O)cc(O)c(C(=O)C(O)(O4)C(c(c34)ccc(c3)O)(O2)CC=C(C)C)1
13748,CC(C)=CCC(c34)(C(O)(Oc3c(CC=C(CCC=C(C)C)C)c(O)cc4)2)Oc(c1)c(C(=O)2)c(O)cc1O
13753,C(Cc(c(O)4)c(c(c(c14)OC(CC=C(C)C)(c32)C(Oc2cc(cc3)O)(C1=O)O)CC=C(C)C)O)=C(C)C
13758,C(C(O)42)(CC=C(C)CCC=C(CCC=C(C)C)C)(c(c(O4)3)ccc(O)c3)Oc(c1)c(C2=O)c(O)cc(O)1
13763,C(=CCc(c21)c(ccc1C(CC=C(C)C)(O4)C(O)(C(c(c34)c(O)c(c(O)c3)CC=C(C)C)=O)O2)O)(C)C
13768,c(c12)(OC(c(c3)c(CC=C(C)C)c(c(c(O)3)O)CC=C(C)C)=C(O)C(=O)2)c(c(O)cc1O)C(C)(C)C=C
13773,c(c3O)c(O)c(c(c23)OC(=C(C2=O)O)c(c1)c(c(c(O)c(O)1)CC=C(C)C)CC=C(C)C)CC=C(C)C
13778,Oc(c3)c(c(c(c3O)CC=C(C)C)2)C(C(=C(O2)c(c1CC=C(C)C)c(CC=C(C)C)c(O)c(c1)O)O)=O
13783,c(O)(c41)cc(O)c(c1OC(=C(C4=O)O)c(c3)c(CC=C(C)C)c(C2)c(c(O)3)OC(C)(C)C2)C(C)(C)C=C
13788,c(c41)(c(c(O)c(c24)C(C(CC=C(C)C)=C(c(c3O)ccc(c3)O)O2)=O)CC=C(C)C)OC(C)(C)C(C1)O
13793,c(c4)c(cc(c41)OC(C(C)(C)O)CC(C3=O)=C1Oc(c23)c(CC=C(C)C)c(O)c(c(O)2)CC=C(C)C)O
13798,c(c3O)(CC(C(C)=C)O)c(c2c(O)c(CC=C(C)C)3)OC(=C(C(=O)2)CC=C(C)C)c(c1O)ccc(c1)O
13803,C(=O)(C=1CC=C(C)C)c(c4O)c(c(c3c4CC=C(C)C)CC(O3)C(C)(C)O)OC1c(c2O)ccc(c2)O
13808,CC(C)=CCc(c3O)c(O1)c(c(c(CC=C(C)C)3)O)C(CC1c(c2)cc(c(c(CC=C(C)C)2)O)OC)=O
13813,C(C(O1)C(C(C(O)C1Oc(c2)c(c(c4)cc(O)c(O)c(O)4)[o+1]c(c3)c(c(O)cc(O)3)2)O)O)OC(C)=O
13818,C(C(O1)[C@@H]([C@@H]([C@H](O)[C@@H]1Oc(c2)c(c(c4)cc(O)c(O)c(O)4)[o+1]c(c3)c(c(O)cc(O)3)2)O)O)OC(C)=O
13823,c(c1)(c(c(cc1c(c3OC(C4O)OC(CO)C(O)C4O)[o+1]c(c2c3)cc(cc2O)OC)OC)O)OC
13828,CC(C)=CCc(c3O)c(c1c(c3CC=C(C)C)O)OC(c(c2)cc(c(c(CC=C(C)C)2)OC)O)CC1=O
13833,c(c(C(=C(OC(C(O)4)OC(C(O)C4O)C(O)=O)3)Oc(c(C3=O)2)cc(c(OC)c2O)O)1)cc(c(c1)O)O
13838,c(c4)(ccc(c4)C(C3O)Oc(c(C3=O)1)c(OC(O2)C(OC(C)=O)C(O)C(C2CO)O)c(cc1O)O)O
13843,O(c(c1)c(O)ccc1C(O4)=C(OC)C(c(c43)c(O)c(O)c(c3)O[C@@H]([C@@H](O)2)OC(CO)[C@@H]([C@@H]2O)O)=O)C
13848,c(O)(c(OC(O4)C(O)C(C(C(CO)4)O)O)1)c(C3=O)c(OC(=C3O)c(c2)ccc(c(OC)2)O)cc1OC
13853,c(c1O)(c(O3)c(C(=O)C(OC)=C3c(c4)ccc(c4O)O)c(OC(C(O)2)OC(CO)C(C2O)O)c1)OC
13858,O(c(c(O)4)cc(cc4)C(=C(O[C@H](O3)C(O)C([C@H]([C@@H](CO)3)O)O)2)Oc(c1C2=O)c(OC)c(cc(O)1)O)C
13863,Oc(c4OC)c(O)c(c1c4)C(C(OC)=C(c(c2)ccc(O[C@@H](C(O)3)O[C@H](CO)[C@@H](C3O)O)c2O)O1)=O
13868,O(C(C(=O)2)=C(c(c4)cc(c(O)c4)O)Oc(c3OC)c(c(O)cc3OC)2)[C@H](O1)C(O)C([C@H]([C@@H](CO)1)O)O
13873,O(c(c1)c(O)ccc1C(O2)=C(C(c(c4O)c2cc(c4OC)OC(C(O)3)OC(CO)C(C3O)O)=O)O)C
13878,O[C@H]([C@H]1OC(=C(c(c4)cc(OC)c(O)c(O)4)3)C(=O)c(c(O3)2)c(O)cc(c2OC)O)[C@@H]([C@H](O)C(C)O1)O
13883,O=C(C(OC)=3)c(c(O)1)c(OC3c(c4)ccc(c4O)O)cc(OC)c1O[C@H](O2)[C@@H](O)[C@H]([C@H](C(CO)2)O)O
13888,c(c(O[C@@H](C(O)4)O[C@H](CO)[C@@H](C4O)O)3)cc(cc3O)C(=C2O)Oc(c1OC)c(C2=O)c(O)cc1OC
13893,O(C(O4)C(O)C(C(C(CO)4)O)O)C(C3=O)=C(Oc(c32)cc(cc2O)O)c(c1)cc(O)c(OC)c1OC
13898,O([C@H](O4)C(O)C([C@H]([C@@H](CO)4)O)O)C(C(=O)2)=C(c(c3)cc(c(OC)c(O)3)O)Oc(c21)cc(cc1O)OC
13903,O=C(C(OC)=3)c(c(O)1)c(OC3c(c4)ccc(c4O)O)cc(OC)c1O[C@H](O2)[C@@H](O)[C@H]([C@H](C(CO)2)O)O
13908,C(O[C@H](O4)C(O)C([C@H]([C@@H](CO)4)O)O)(C3=O)=C(Oc(c32)cc(cc2O)O)c(c1)cc(c(c1OC)O)OC
13913,c(c1)c(OC)c(cc1C(O4)=C(C(c(c42)c(cc(OC)c2O[C@H](O3)[C@@H](O)[C@H]([C@H](C(CO)3)O)O)O)=O)O)O
13918,O(C(=C(c(c4)cc(c(O)c4)O)3)C(=O)c(c2O)c(O3)cc(c2OC)OC)[C@H](O1)C(O)C([C@H]([C@@H](CO)1)O)O
13923,O(c(c1)c(O)ccc1C(=C4O)Oc(c(C4=O)3)c(OC)c(cc3O)O[C@@H]([C@@H](O)2)OC(CO)[C@@H]([C@@H]2O)O)C
13928,c(c1)(O)c(C(C(O)4)OC(C(C4O)O)CO)c(O)c(C3=O)c(OC(=C3O)c(c2)cc(c(c(OC)2)O)OC)1
13933,O(C(=C(c(c4)cc(OC)c(O)c4)3)C(=O)c(c2O3)c(c(OC)c(c2)O)O)[C@H](O1)C(O)C([C@H]([C@@H](CO)1)O)O
13938,O=C(c24)C(OC)=C(Oc2cc(c(c4O)OC)O[C@@H]([C@@H](O)3)OC(CO)[C@@H]([C@@H]3O)O)c(c1)ccc(c1O)O
13943,O(c(c(O)4)cc(cc4)C(=C(O[C@H](O3)C(O)C([C@H]([C@@H](CO)3)O)O)2)Oc(c1C2=O)c(OC)c(cc(O)1)O)C
13948,C(O[C@H](O4)C(O)C([C@H]([C@@H](CO)4)O)O)(C3=O)=C(Oc(c32)cc(cc2O)O)c(c1)cc(c(c1OC)O)OC
13953,OC(C4O)[C@H](O[C@@H](CO)[C@H]4O)Oc(c3)c(c(c(O)c3)OC)C(=C2)Oc(c(OC)1)c(C2=O)c(cc1O)O
13958,O[C@@H]([C@H]4O)[C@@H](OC(CO)[C@@H]4O)Oc(c(OC)3)c(O)c(c2c3OC)C(=O)C=C(O2)c(c1)ccc(c1O)O
13963,O(C(=C(c(c4)cc(c(O)c4)O)3)C(=O)c(c2O)c(O3)cc(c2OC)OC)[C@H](O1)C(O)C([C@H]([C@@H](CO)1)O)O
13968,O(C)c(c(OC)3)c(O)c(c2c3O[C@H](O4)[C@@H](O)[C@H]([C@H](C(CO)4)O)O)C(=O)C=C(O2)c(c1)ccc(c1O)O
13973,O([C@H](O4)[C@@H](O)[C@H]([C@H](C(CO)4)O)O)c(c(OC)1)c(c(O2)c(C(=O)C=C2c(c3)ccc(c3O)O)c(O)1)OC
13978,Oc(c(CC=C(C)CCC=C(C)C)1)c(C(=O)2)c(OC(c(c(O)3)c(O)cc(c3)O)C2)c(CC=C(C)C)c1O
13983,O(C2c(c(O)3)c(O)cc(O)c3)c(c(CC(C(C)=C)CC=C(C)C)1)c(C(C2)=O)c(c(c1O)CC=C(C)C)O
13988,OC(C4)C(C)(C)Oc(c34)cc(c1c3O)OC(c(c2CC=C(CCC=C(C)C)C)ccc(O)c2O)CC1=O
13993,C(Cc(c(C(O2)C(C(c(c(O)3)c2c(CC=C(C)C)c(O)c3)=O)O)1)cc(O)c(O)c1CC=C(C)C)=C(C)C
13998,c(c1)c(cc(O)c1C(C3O)Oc(c2CC(CC=C(C)C)C(C)=C)c(C3=O)c(O)c(CC=C(C)C)c2O)O
14003,C(CCC=C(C)C)(=CCc(c3O)c(c(cc3CC=C(C)C)C(O2)C(O)C(=O)c(c12)c(O)cc(c1)O)O)C
14008,c(c42)(c(cc(c4)OC)O[C@@H]([C@H]3O)OC([C@H](O)[C@@H]3O)CO)C[C@H](O)[C@H](O2)c(c1)cc(c(c(OC)1)O)OC
14013,C(C(OC(=C(c(c4)cccc4)3)C(c(c(O)2)c(O3)c(c(O)c2)S(O)(=O)=O)=O)1)(O)C(O)C(O)C(O1)CO
14018,C(C1O)(O)C(O)C(CO)OC1c(c(OS(O)(=O)=O)4)c(c(C(=O)3)c(c4)OC(=C3)c(c2)ccc(O)c2)O
14023,c(c(OS(O)(=O)=O)1)c(c(C(=O)4)c(OC(=C4)c(c3)ccc(O)c3)c1[C@@H]([C@H]2O)OC(CO)[C@@H]([C@@H]2O)O)O
14028,c(c13)(cc(OC(O4)C(O)C(C(O)C4)O)cc1OC(=C(OS(O)(=O)=O)C3=O)c(c2)cc(c(O)c2)O)O
14033,O(c(c4)ccc(c4)C(=C2OC(C(O)3)OC(C)C(C(O)3)O)Oc(c1CC=C(C)C)c(C(=O)2)c(cc(O)1)O)C
14038,c(C(=O)2)(c(OC(c(c4)ccc(c4)O)=C2OC(C(OC(C)=O)3)OC(C(OC(C)=O)C(O)3)C)1)c(O)cc(O)c1
14043,CC(=O)OC(C4OC(C)=O)C(C)OC(C4O)OC(=C2c(c3)ccc(c3)O)C(=O)c(c(O2)1)c(O)cc(O)c1
14048,c(C(=O)2)(c(O)4)c(cc(c4)OC(C(OC(C)=O)3)OC(C(O)C(OC(C)=O)3)CO)OC(=C2)c(c1)ccc(c1)O
14053,C(O1)(c(c4O)c(O)c(c(c4)2)C(=O)C=C(c(c3)ccc(c3)O)O2)C(C(C(C1COC(C)=O)O)O)OC(C)=O
14058,c(c21)c(O)c(c(c1C(C(C(c(c(O)3)ccc(O)c3CC=C(CCC=C(C)C)C)O2)O)=O)O)CC=C(C)C
14063,O(C(C)1)C(OC(=C(c(c5)ccc(OC)c5)2)C(c(c3O)c(c(C=4)c(OC(C4)(C)C)c3)O2)=O)C(O)C(O)C1O
14068,Oc(c3)c(C(=O)2)c(cc3OC(C4O)OC(CO)C(C(OC(C)=O)4)OC(C)=O)OC(=C2)c(c1)ccc(c1)O
14073,c(c1C(=C4)C(=O)c(c3O4)ccc(c3)O[C@H](O2)[C@H]([C@H]([C@@H](O)C2COC(=O)CC(O)=O)O)O)cc(OC)cc1
14078,Oc(c1)c(O)ccc1C(C(O)2)Oc(c(Cc(c5)ccc(c5)O)4)c(c(c(c4O)Cc(c3)ccc(c3)O)O)C2=O
14083,Oc(c1)ccc(C(O4)=C(O)C(c(c43)c(O)cc(c3CC=C(C)C)OC(O2)C(C(C(O)C(CO)2)O)O)=O)c1
14088,c(c4)(ccc(O)c4)C(=C3)Oc(c1C3=O)c(C(O2)C(C(C(C2CO)O)O)OC(C(C)CC)=O)c(O)cc1O
14093,c(C(C)=O)(c(O)1)c(O)c(Cc(c(O)3)c(O)c(C(=O)C=Cc(c4)cccc4)c(c32)OC(C)(C)C=C2)c(O)c1C
14098,C(=Cc(c3)cc(OC)c(O)c3)C(=O)OCC(C)=CCc(c1O)c(O)ccc(C(C=Cc(c2)ccc(c2)O)=O)1
14103,C(O3)(=Cc(c24)c(OC(O5)C(O)C(C(O)C(CO)5)O)c([o+1]c2cc(O)cc34)c(c1)cc(c(c1)O)O)C(O)=O
14108,O(C(C)=O)C(C1O)C(OC(C)=O)C(Oc(c4O)c(c3c(c4)O)OC(=C(C3=O)O)c(c2)ccc(c2)O)OC1
14113,Oc(c3)c(C(=O)2)c(cc3OC(C4O)OC(C(O)C4O)COC(=O)CC(O)=O)OC(=C2)c(c1)ccc(c1)O
14118,O=C(CC(O)=O)OCC(C(O)4)OC(C(C(O)4)O)Oc(c12)cc(O)cc1OC(c(c3)ccc(c3)O)=CC2=O
14123,O=C(C=3)c(c(OC3c(c4)cccc4)2)c(c(O)c(c2)OC(O1)C(C(O)C(O)C1COC(=O)CC(O)=O)O)O
14128,C(=O)(C=1)c(c3O)c(cc(OC(C(OC(C4O)OC(C(O)=O)C(C(O)4)O)C)=O)c3)OC1c(c2)ccc(c2)O
14133,O=C(CC(O)=O)OCC(C(O)4)OC(C(C4O)O)Oc(c1)cc(O2)c(C(C(c(c3)ccc(c3)O)=C2)=O)c1O
14138,O=C(CC(O)=O)OCC(C(O)1)OC(Oc(c5)cc(c(c5)2)OCC(c34)C(Oc3cc(cc4)OC)2)C(C1O)O
14143,C(C4)(Oc(c3C4=O)c(CC=C(CO)C)c(cc3O)OC(O2)C(C(C(O)C(CO)2)O)O)c(c1)ccc(O)c1
14148,c(O)(c5)ccc(c5)[C@@H](O1)[C@@H](O[C@@H](C(O)4)O[C@@H]([C@@H](C(O)4)O)CO)C(c(c2O)c1c(C3)c(OC(C3)(C)C)c2)=O
14153,OC(C4O)C(O)C(OC4COC(C)=O)Oc(c3OC)cc(c(c3O)1)OC(c(c2)ccc(c2)OC)=CC(=O)1
14158,C(C(O1)C(O)C(C(O)C1Oc(c2)cc(O)c(C3=O)c2OC(c(c4)cc(c(O)c4)CC=C(C)C)C3O)O)O
14163,c(c1C(O4)([H])C(C(c(c43)c(O)cc(c(CC=C(C)C)3)OC(C2O)OC(CO)C(O)C2O)=O)([H])O)cc(O)cc1
14168,O=C(C(OC)=3)c(c(O)1)c(OC(c(c4)ccc(OC(O5)C(O)C(C(O)C5C(O)=O)O)c4O)3)cc(O2)c(OC2)1
14173,O=C(CC(O)=O)OCC(C(O)4)OC(C(C(O)4)O)Oc(c2c(c3)ccc(c3)O)cc(c1O)c([o+1]2)cc(c1)O
14178,Oc(c31)cc(cc1OC(c(c4)cc(O)c(c(O)4)OC)=C(C3=O)OC(O2)C(C(O)C(OC(C)=O)C(C)2)O)O
14183,[C@@H]([C@H]1O)(OC(=C(c(c4)cc(c(c4)O)O)2)C(c(c(O)3)c(c(c(OC)c3)OC(C)=O)O2)=O)OC(C)[C@H]([C@H]1O)O
14188,O[C@@H]([C@H]4COC(C)=O)C(O)C(O)[C@@H](O4)OC(C1=O)=C(c(c3)cc(OC)c(c3)O)Oc(c2)c1c(O)cc2O
